configName      CASE104
iniFile         omnet_CASE7.ini
processID       8068
runID           CASE104-0-20220325-12:46:12-8068
totalRun        1
currentRun      0
currentConfig   CASE104
sim timeStep    100 ms
startDateTime   2022-03-25 12:46:12.759
endDateTime     2022-03-25 12:46:21.759
duration        0 hour, 0 minute, 9 second


timeStep    vehId          fromState                     toState                       commandSent    receiverId     senderPltId    receiverPltId    maneuverStartEnd 
66.11       veh.1          state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
66.11       veh.1          state_sendingACK              state_waitForSplitDone        ACK            veh            veh.1          veh.1            -                

66.15       veh            state_waitForAck              state_splitDone               -              -              -              -                -                
66.15       veh            state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh            veh              -                
66.15       veh            state_splitDone               state_platoonLeader           SPLIT_DONE     veh.1          veh            veh              -                

66.21       veh.1          state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

68.31       veh.1          state_waitForGap              state_platoonLeader           GAP_CREATED    veh            veh.1          veh              Split_End        

68.35       veh.1          state_platoonLeader           state_idle                    -              -              -              -                FLeave_End       

85.00       veh1           state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
85.00       veh1           state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh1.3         veh1           veh1             -                

85.05       veh1.3         state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh1           veh1           veh1             -                

85.09       veh1           state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
85.09       veh1           state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh1.3         veh1           veh1             -                

85.15       veh1.3         state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
85.15       veh1.3         state_sendingACK              state_waitForSplitDone        ACK            veh1           veh1.3         veh1.3           -                

85.17       veh1           state_waitForAck              state_splitDone               -              -              -              -                -                
85.17       veh1           state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh1           veh1             -                
85.17       veh1           state_splitDone               state_platoonLeader           SPLIT_DONE     veh1.3         veh1           veh1             -                

85.19       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
85.19       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

85.27       veh1.3         state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

86.19       veh1.4         state_waitForMergeReply       state_sendMergeReq            -              -              -              -                -                
86.19       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

87.19       veh1.4         state_waitForMergeReply       state_sendMergeReq            -              -              -              -                -                
87.19       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

88.19       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                -                

88.29       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
88.29       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

88.97       veh1.3         state_waitForGap              state_platoonLeader           GAP_CREATED    veh1           veh1.3         veh1             Split_End        

89.29       veh1.4         state_waitForMergeReply       state_sendMergeReq            -              -              -              -                -                
89.29       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

89.36       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

89.40       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

89.49       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
89.49       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

89.53       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

89.60       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

89.69       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
89.69       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

89.70       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

89.75       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

89.79       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
89.79       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

89.80       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

89.86       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

89.89       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
89.89       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

89.95       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

89.96       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

89.99       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
89.99       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

90.00       veh1.3         state_platoonLeader           state_platoonLeader           MERGE_REJECT   veh1.4         veh1.3         veh1.4           -                

90.04       veh1.4         state_waitForMergeReply       state_platoonLeader           -              -              -              -                Merge_Reject     

90.09       veh1.4         state_platoonLeader           state_sendMergeReq            -              -              -              -                -                
90.09       veh1.4         state_sendMergeReq            state_waitForMergeReply       MERGE_REQ      veh1.3         veh1.4         veh1.3           Merge_Request    

